priorities,real_happiness,after_strategy_happiness,strategy_id,num_of_flips
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'לניאדו', 'פוריה', 'שיבא', 'איכילוב-סוראסקי', 'וולפסון', 'שערי-צדק', 'קפלן', 'הלל-יפה', 'מאיר', 'ברזילי', 'אסף-הרופא', 'רבין-בילינסון', 'רבין-השרון', 'כרמל', 'רמבם', 'אסותא-אשדוד', 'הדסה', 'מעיני-הישועה', 'יוספטל', 'נצרת']",421.65000000000003,433.34000028,5,5
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'מעיני-הישועה', 'לניאדו', 'סורוקה', 'וולפסון', 'יוספטל', 'הלל-יפה', 'נצרת', 'אסף-הרופא', 'רבין-השרון', 'המרכזי-בעמק', 'איכילוב-סוראסקי', 'קפלן', 'אסותא-אשדוד', 'שערי-צדק', 'ברזילי', 'הדסה', 'כרמל', 'מאיר', 'רמבם', 'רבין-בילינסון', 'שיבא']",421.65000000000003,576.0,6,5
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'כרמל', 'סורוקה', 'לניאדו', 'פוריה', 'שיבא', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'מאיר', 'אסף-הרופא', 'ברזילי', 'רבין-בילינסון', 'רבין-השרון', 'רמבם', 'מעיני-הישועה', 'אסותא-אשדוד', 'הדסה', 'יוספטל', 'נצרת']",421.65000000000003,468.8165854800001,7,5
"['המרכזי-בעמק', 'רבקה-זיו', 'נהריה', 'בני-ציון', 'סורוקה', 'לניאדו', 'שיבא', 'פוריה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'מאיר', 'אסף-הרופא', 'ברזילי', 'רבין-בילינסון', 'רבין-השרון', 'כרמל', 'רמבם', 'אסותא-אשדוד', 'מעיני-הישועה', 'הדסה', 'יוספטל', 'נצרת']",421.65000000000003,484.0,8,5
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'לניאדו', 'שיבא', 'פוריה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'מאיר', 'קפלן', 'אסף-הרופא', 'רבין-בילינסון', 'ברזילי', 'כרמל', 'רמבם', 'רבין-השרון', 'מעיני-הישועה', 'אסותא-אשדוד', 'הדסה', 'יוספטל', 'נצרת']",421.65000000000003,451.74641796000003,9,5
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'לניאדו', 'רמבם', 'פוריה', 'שיבא', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'מאיר', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'כרמל', 'רבין-השרון', 'הדסה', 'מעיני-הישועה', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'רבין-בילינסון']",494.4899996800001,514.27288848,1,6
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'רמבם', 'לניאדו', 'שיבא', 'פוריה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'מאיר', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'כרמל', 'הדסה', 'רבין-השרון', 'מעיני-הישועה', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'רבין-בילינסון']",494.4899996800001,497.47999968000005,2,6
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'לניאדו', 'פוריה', 'רמבם', 'איכילוב-סוראסקי', 'שיבא', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'מאיר', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'כרמל', 'הדסה', 'רבין-השרון', 'מעיני-הישועה', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'רבין-בילינסון']",494.4899996800001,518.68921635,3,6
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'לניאדו', 'רמבם', 'פוריה', 'שיבא', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'מאיר', 'קפלן', 'אסף-הרופא', 'סורוקה', 'ברזילי', 'כרמל', 'הדסה', 'רבין-השרון', 'מעיני-הישועה', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'רבין-בילינסון']",494.4899996800001,513.6513769600001,4,6
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'רמבם', 'לניאדו', 'שיבא', 'איכילוב-סוראסקי', 'פוריה', 'וולפסון', 'שערי-צדק', 'הלל-יפה', 'קפלן', 'מאיר', 'אסף-הרופא', 'ברזילי', 'כרמל', 'סורוקה', 'הדסה', 'רבין-השרון', 'מעיני-הישועה', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'רבין-בילינסון']",494.4899996800001,504.58000032,5,6
