priorities,real_happiness,after_strategy_happiness,strategy_id,num_of_flips
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",203.56000064,215.08000056,0,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",203.56000064,223.98000023999998,2,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",203.56000064,207.0299986,4,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",203.56000064,230.939999,5,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",203.56000064,210.40999808,6,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'שיבא', 'כרמל']",261.49999881,263.62999951,3,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'נצרת', 'שיבא']",261.49999881,267.09999877,5,1
"['לניאדו', 'רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",261.49999881,400.0,8,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'מאיר', 'נצרת']",261.49999881,262.31506879,9,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'אסותא-אשדוד', 'הדסה', 'רמבם', 'רבין-בילינסון', 'רבין-השרון', 'יוספטל', 'כרמל', 'שיבא', 'מאיר', 'נצרת']",264.99999859,268.25999951,0,2
