priorities,real_happiness,after_strategy_happiness,strategy_id,num_of_flips
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",223.42999859999998,248.4400014,0,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",223.42999859999998,266.56866891,1,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",223.42999859999998,237.9100014,2,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'שיבא', 'כרמל']",223.42999859999998,225.26999999999998,3,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'נצרת', 'יוספטל', 'כרמל', 'שיבא']",223.42999859999998,238.00999860000002,4,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",223.42999859999998,255.28814721,6,1
"['לניאדו', 'רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",223.42999859999998,400.0,8,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'מאיר', 'נצרת']",223.42999859999998,254.21631878999997,9,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'מאיר', 'נצרת']",290.85999926,297.04000178,2,2
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'ברזילי', 'קפלן', 'הדסה', 'רמבם', 'רבין-בילינסון', 'יוספטל', 'מאיר', 'אסותא-אשדוד', 'נצרת', 'כרמל', 'שיבא']",290.85999926,295.99000171,3,2
