priorities,real_happiness,after_strategy_happiness,strategy_id,num_of_flips
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",231.6300026,233.87000036,0,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",231.6300026,233.79999899999999,3,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",231.6300026,237.63000232,4,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",230.7700026,231.4200006,0,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'נצרת', 'כרמל', 'שיבא']",230.7700026,231.8500026,1,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",230.7700026,236.3500008,2,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'יוספטל', 'נצרת', 'אסותא-אשדוד', 'שיבא', 'כרמל']",230.7700026,255.6100026,3,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'נצרת', 'שיבא']",230.7700026,244.1900016,5,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'יוספטל', 'אסותא-אשדוד', 'כרמל', 'שיבא']",230.7700026,259.60011984,6,1
"['לניאדו', 'רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",230.7700026,400.0,8,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'מאיר', 'נצרת']",230.7700026,282.89939367,9,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'רמבם', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'רבין-השרון', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'שערי-צדק', 'הדסה', 'וולפסון', 'יוספטל', 'רבין-בילינסון', 'אסותא-אשדוד', 'נצרת', 'כרמל', 'שיבא', 'מאיר']",377.890001155,385.85999900499996,1,2
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'הלל-יפה', 'רמבם', 'מעיני-הישועה', 'אסף-הרופא', 'רבין-השרון', 'מאיר', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'שערי-צדק', 'הדסה', 'אסותא-אשדוד', 'רבין-בילינסון', 'וולפסון', 'איכילוב-סוראסקי', 'כרמל', 'שיבא', 'יוספטל', 'נצרת']",401.3800012,424.30737424000006,1,3
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'רמבם', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'מאיר', 'רבין-השרון', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'שערי-צדק', 'הדסה', 'רבין-בילינסון', 'אסותא-אשדוד', 'וולפסון', 'כרמל', 'שיבא', 'איכילוב-סוראסקי', 'יוספטל', 'נצרת']",401.3800012,409.51,2,3
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'רמבם', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'רבין-השרון', 'מאיר', 'קפלן', 'ברזילי', 'המרכזי-בעמק', 'הדסה', 'שערי-צדק', 'אסותא-אשדוד', 'רבין-בילינסון', 'וולפסון', 'כרמל', 'שיבא', 'איכילוב-סוראסקי', 'יוספטל', 'נצרת']",401.3800012,404.51000104,5,3
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'מעיני-הישועה', 'הלל-יפה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'יוספטל', 'המרכזי-בעמק', 'נצרת', 'קפלן', 'רבין-השרון', 'ברזילי', 'הדסה', 'אסותא-אשדוד', 'רמבם', 'מאיר', 'רבין-בילינסון', 'כרמל', 'שיבא']",401.3800012,576.0,6,3
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'רמבם', 'לניאדו', 'הלל-יפה', 'מעיני-הישועה', 'מאיר', 'אסף-הרופא', 'רבין-השרון', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'שערי-צדק', 'רבין-בילינסון', 'הדסה', 'אסותא-אשדוד', 'כרמל', 'שיבא', 'וולפסון', 'איכילוב-סוראסקי', 'יוספטל', 'נצרת']",455.55999925000003,458.6300005,2,4
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'מעיני-הישועה', 'וולפסון', 'הלל-יפה', 'אסף-הרופא', 'יוספטל', 'איכילוב-סוראסקי', 'נצרת', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'קפלן', 'ברזילי', 'אסותא-אשדוד', 'הדסה', 'רמבם', 'כרמל', 'מאיר', 'רבין-בילינסון', 'שיבא']",455.55999925000003,576.0,6,4
