priorities,real_happiness,after_strategy_happiness,strategy_id,num_of_flips
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",226.63000187999998,231.32000148,3,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",226.63000187999998,258.42999868,6,0
"['הלל-יפה', 'נהריה', 'רמבם', 'פוריה', 'סורוקה', 'אסותא-אשדוד', 'רבקה-זיו', 'וולפסון', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'בני-ציון', 'רבין-בילינסון', 'לניאדו', 'כרמל', 'שיבא', 'מאיר', 'יוספטל', 'נצרת']",560.98,574.75,0,3
"['הלל-יפה', 'נהריה', 'רמבם', 'פוריה', 'סורוקה', 'אסותא-אשדוד', 'וולפסון', 'רבקה-זיו', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'בני-ציון', 'רבין-בילינסון', 'לניאדו', 'יוספטל', 'כרמל', 'שיבא', 'מאיר', 'נצרת']",560.98,563.72000032,1,3
"['הלל-יפה', 'נהריה', 'רמבם', 'פוריה', 'אסותא-אשדוד', 'סורוקה', 'וולפסון', 'רבקה-זיו', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'בני-ציון', 'לניאדו', 'רבין-בילינסון', 'מאיר', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",560.98,579.43,3,3
"['הלל-יפה', 'נהריה', 'רמבם', 'פוריה', 'אסותא-אשדוד', 'סורוקה', 'רבקה-זיו', 'וולפסון', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'בני-ציון', 'רבין-בילינסון', 'לניאדו', 'מאיר', 'כרמל', 'שיבא', 'יוספטל', 'נצרת']",560.98,562.76000032,4,3
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'מעיני-הישועה', 'הלל-יפה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'נצרת', 'יוספטל', 'המרכזי-בעמק', 'קפלן', 'רבין-השרון', 'ברזילי', 'הדסה', 'רמבם', 'אסותא-אשדוד', 'מאיר', 'כרמל', 'רבין-בילינסון', 'שיבא']",560.98,576.0,6,3
"['הלל-יפה', 'נהריה', 'רמבם', 'פוריה', 'סורוקה', 'אסותא-אשדוד', 'רבקה-זיו', 'וולפסון', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-בילינסון', 'רבין-השרון', 'בני-ציון', 'הדסה', 'כרמל', 'שיבא', 'מאיר', 'לניאדו', 'יוספטל', 'נצרת']",572.02,582.31,0,4
"['הלל-יפה', 'נהריה', 'אסותא-אשדוד', 'רמבם', 'פוריה', 'סורוקה', 'וולפסון', 'רבקה-זיו', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'רבין-בילינסון', 'בני-ציון', 'הדסה', 'כרמל', 'לניאדו', 'שיבא', 'מאיר', 'יוספטל', 'נצרת']",572.02,586.08255328,1,4
"['הלל-יפה', 'נהריה', 'רמבם', 'אסותא-אשדוד', 'פוריה', 'סורוקה', 'רבקה-זיו', 'וולפסון', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'רבין-בילינסון', 'בני-ציון', 'הדסה', 'כרמל', 'לניאדו', 'שיבא', 'מאיר', 'יוספטל', 'נצרת']",572.02,586.6,4,4
"['הלל-יפה', 'נהריה', 'אסותא-אשדוד', 'רמבם', 'פוריה', 'סורוקה', 'וולפסון', 'רבקה-זיו', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'קפלן', 'ברזילי', 'המרכזי-בעמק', 'רבין-השרון', 'רבין-בילינסון', 'הדסה', 'בני-ציון', 'כרמל', 'שיבא', 'מאיר', 'לניאדו', 'יוספטל', 'נצרת']",572.02,590.44,5,4
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'מעיני-הישועה', 'וולפסון', 'הלל-יפה', 'אסף-הרופא', 'יוספטל', 'נצרת', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'רבין-השרון', 'קפלן', 'ברזילי', 'אסותא-אשדוד', 'כרמל', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'שיבא']",572.02,576.0,6,4
"['הלל-יפה', 'נהריה', 'רמבם', 'אסותא-אשדוד', 'הדסה', 'פוריה', 'סורוקה', 'וולפסון', 'רבקה-זיו', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-בילינסון', 'רבין-השרון', 'בני-ציון', 'כרמל', 'שיבא', 'מאיר', 'לניאדו', 'יוספטל', 'נצרת']",572.02,582.52,7,4
