priorities,real_happiness,after_strategy_happiness,strategy_id,num_of_flips
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",212.69000151999998,213.97000024000002,4,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",212.69000151999998,226.219998,6,0
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'נצרת', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא']",269.92000260000003,278.7451902,6,1
"['לניאדו', 'רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'רבין-השרון', 'הדסה', 'רמבם', 'מאיר', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'נצרת']",269.92000260000003,400.0,8,1
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'רבין-השרון', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'איכילוב-סוראסקי', 'הדסה', 'רמבם', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'מאיר', 'נצרת']",272.32000224,313.41999970999996,0,2
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'רבין-השרון', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'איכילוב-סוראסקי', 'הדסה', 'רמבם', 'יוספטל', 'רבין-בילינסון', 'אסותא-אשדוד', 'נצרת', 'כרמל', 'שיבא', 'מאיר']",272.32000224,275.81494503,1,2
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'רבין-השרון', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'איכילוב-סוראסקי', 'הדסה', 'רמבם', 'רבין-בילינסון', 'אסותא-אשדוד', 'יוספטל', 'כרמל', 'שיבא', 'מאיר', 'נצרת']",272.32000224,314.01999975,2,2
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'רבין-השרון', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'איכילוב-סוראסקי', 'הדסה', 'רמבם', 'אסותא-אשדוד', 'יוספטל', 'רבין-בילינסון', 'מאיר', 'נצרת', 'כרמל', 'שיבא']",272.32000224,317.93259530999995,3,2
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'אסף-הרופא', 'רבין-השרון', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'איכילוב-סוראסקי', 'הדסה', 'רמבם', 'אסותא-אשדוד', 'רבין-בילינסון', 'יוספטל', 'מאיר', 'כרמל', 'שיבא', 'נצרת']",272.32000224,299.78368499,4,2
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'וולפסון', 'הלל-יפה', 'מעיני-הישועה', 'רבין-השרון', 'אסף-הרופא', 'שערי-צדק', 'המרכזי-בעמק', 'קפלן', 'ברזילי', 'הדסה', 'רמבם', 'איכילוב-סוראסקי', 'רבין-בילינסון', 'יוספטל', 'אסותא-אשדוד', 'כרמל', 'שיבא', 'נצרת', 'מאיר']",272.32000224,287.50000009,5,2
